NUM_SUB_KERNELS,SAMPLE_PER_STUDENT,NUM_STUDENTS,seed,pref_thresh,alg,seats,nash,zeros,min_val,PMMS_violations,PMMS_agents,EF_violations,EF_agents,EF1_violations,EF1_agents,EFX_violations,EFX_agents,runtime
1,10,2308,47,10,YS,7152.0,2.8647693323948733,0,1,0,0,3344,347,0,0,41,9,985.043616771698
1,10,2308,38,10,RR,6952.0,2.7824460785867347,42,0,558,33,14400,429,825,55,9283,254,415.9188721179962
1,10,2308,48,10,RR,6987.0,2.785838808303122,38,0,809,56,16575,470,970,72,10645,281,374.01112961769104
1,10,2308,38,10,SD,6895.000000000001,2.818231890621194,102,0,7675,207,42613,517,8411,251,36799,425,103.22113466262817
1,10,2308,48,10,SD,6917.0,2.8408877844007443,120,0,13923,248,59823,540,15266,293,52651,447,101.52300548553467
1,10,2308,38,10,YS,7165.0,2.883129541367047,0,1,0,0,3521,321,0,0,18,7,981.4708936214447
1,10,2308,48,10,YS,7117.0,2.876780127063762,0,1,0,0,2836,392,0,0,4,3,954.2311389446259
1,10,2308,39,10,RR,6934.0,2.765673892964253,40,0,606,42,15043,442,805,67,10083,263,369.28083634376526
1,10,2308,49,10,RR,6990.0,2.775682314574598,38,0,915,39,14470,397,1034,56,9654,248,379.66528391838074
1,10,2308,39,10,SD,6879.0,2.8208301935233413,110,0,8195,217,44204,517,9004,255,38358,421,114.0918960571289
1,10,2308,49,10,SD,6907.0,2.81860464843686,105,0,7614,213,42791,516,8472,255,36969,430,102.92961311340332
1,10,2308,39,10,YS,7127.0,2.8643383636717297,0,1,1,1,3206,368,1,1,13,6,996.4181361198425
1,10,2308,49,10,YS,7158.0,2.8755582980806325,0,1,0,0,3298,362,0,0,21,7,979.3946902751923
1,10,2308,60,10,RR,6992.0,2.792200144036594,42,0,533,44,15624,464,877,64,10361,264,379.9610810279846
1,10,2308,50,10,RR,6938.0,2.771865045551927,37,0,786,46,15921,430,1014,64,10355,239,403.1384606361389
1,10,2308,70,10,RR,6951.0,2.7683811582995936,39,0,527,31,14799,409,708,44,9697,246,375.62803983688354
1,10,2308,90,10,RR,6869.0,2.73613171902099,45,0,524,34,14280,411,623,42,9597,267,373.67522859573364
1,10,2308,80,10,RR,6929.0,2.761999869785732,36,0,820,46,16330,443,1017,66,11063,264,374.900906085968
1,10,2308,70,10,SD,6870.0,2.8015093416705925,104,0,8368,214,44856,510,8975,251,38430,410,104.25980806350708
1,10,2308,60,10,SD,6975.0,2.8446809034791296,99,0,9551,203,44565,512,10217,245,38798,409,100.62683367729187
1,10,2308,90,10,SD,6818.0,2.792189442660925,116,0,9081,215,46898,514,9932,254,40580,432,102.26935076713562
1,10,2308,80,10,SD,6846.0,2.801267093197679,108,0,10462,241,51848,540,11783,288,44551,462,103.9738187789917
1,10,2308,50,10,SD,6903.0,2.8316869876050417,108,0,10722,218,51434,514,12007,263,44201,424,104.74459409713745
1,10,2308,70,10,YS,7125.0,2.8630467071586208,0,1,0,0,3011,329,0,0,20,3,962.4498796463013
1,10,2308,60,10,YS,7167.0,2.8877954363325546,0,1,0,0,3089,390,0,0,29,3,966.2330124378204
1,10,2308,90,10,YS,7153.0,2.86330677230886,0,1,0,0,3317,372,0,0,30,13,993.1628873348236
1,10,2308,80,10,YS,7140.0,2.888562658800463,0,1,0,0,2837,367,0,0,13,6,961.2310461997986
1,10,2308,50,10,YS,7106.0,2.872507524736895,0,1,0,0,2942,362,5,3,57,8,977.6338183879852
1,10,2308,61,10,RR,6994.0,2.7981721739744327,34,0,919,40,15667,466,1106,69,10168,279,381.17432260513306
1,10,2308,71,10,RR,6990.0,2.78846763664852,44,0,983,35,14933,403,1079,49,10024,239,388.00252389907837
1,10,2308,91,10,RR,6978.0,2.7822545146620605,36,0,696,34,14761,457,926,59,9538,266,380.28054785728455
1,10,2308,81,10,RR,6963.0,2.7839439086452984,41,0,1172,53,16795,427,1246,66,11608,258,385.80755949020386
1,10,2308,51,10,RR,6978.0,2.7779455974089413,36,0,633,37,14753,441,779,50,9478,257,378.44643330574036
1,10,2308,61,10,SD,6925.0,2.8296551720057503,102,0,10502,229,51548,575,11257,282,44351,475,101.02166414260864
1,10,2308,71,10,SD,6925.0,2.854280020822593,120,0,9686,215,49203,526,10633,268,42886,440,102.32895064353943
1,10,2308,51,10,SD,6901.0,2.8161623374675986,103,0,9851,205,48677,516,10653,247,41935,442,102.53777480125427
1,10,2308,81,10,SD,6939.0,2.816855118157003,92,0,8486,211,44021,517,9167,256,38258,419,105.05378556251526
1,10,2308,91,10,SD,6932.0,2.834045287944313,108,0,10845,222,51447,506,11858,267,44321,428,103.89677119255066
1,10,2308,61,10,YS,7130.999999999999,2.893462042104641,0,1,0,0,3394,354,0,0,6,1,942.0990362167358
1,10,2308,51,10,YS,7172.0,2.8862139643937166,0,1,0,0,3287,378,1,1,9,3,989.7156322002411
1,10,2308,71,10,YS,7156.0,2.8807056746154394,0,1,1,1,3149,353,2,2,21,7,966.4886791706085
1,10,2308,81,10,YS,7160.0,2.8856201835472945,0,1,0,0,3274,353,0,0,6,2,1002.3645560741425
1,10,2308,91,10,YS,7156.0,2.8865071156121203,0,1,0,0,3146,376,0,0,26,9,984.9246923923492
1,10,2308,62,10,RR,6956.0,2.7791343376876103,46,0,485,33,15803,427,605,55,10296,254,376.7704005241394
1,10,2308,52,10,RR,6938.0,2.766249073863556,40,0,490,40,14999,435,621,56,9797,254,368.0011532306671
1,10,2308,72,10,RR,6989.0,2.784391770647458,41,0,602,35,14733,446,696,50,9518,250,390.35443449020386
1,10,2308,82,10,RR,6972.0,2.7895765911520307,45,0,771,34,15899,417,987,57,10914,245,380.23743534088135
1,10,2308,92,10,RR,7008.0,2.7978813569714505,37,0,734,42,16191,431,927,61,10345,255,381.5450427532196
1,10,2308,62,10,SD,6897.0,2.8192545642559383,106,0,8178,221,44809,548,8990,265,38656,451,107.82896947860718
1,10,2308,52,10,SD,6886.0,2.8114544170548106,105,0,9599,216,47756,538,10715,258,41430,434,101.92191576957703
1,10,2308,72,10,SD,6935.0,2.8311282139890155,108,0,10032,212,47888,509,10598,246,41229,426,102.18693566322327
1,10,2308,82,10,SD,6935.0,2.8406552240664578,109,0,8404,210,45084,495,9191,254,39429,408,103.36881518363953
1,10,2308,92,10,SD,6960.0,2.8550249847726965,109,0,12059,242,53167,497,12987,285,46723,428,104.85028147697449
1,10,2308,62,10,YS,7134.0,2.870131340946036,0,1,0,0,3139,417,2,2,57,9,962.6780483722687
1,10,2308,52,10,YS,7098.0,2.864697188424953,0,1,0,0,2954,300,0,0,0,0,938.6529319286346
1,10,2308,72,10,YS,7188.0,2.8840689506463706,0,1,0,0,3536,397,3,3,55,13,990.8086676597595
1,10,2308,82,10,YS,7152.0,2.876893988577011,0,1,0,0,3463,351,2,2,21,9,985.4845280647278
1,10,2308,92,10,YS,7172.0,2.9062753681418934,0,1,0,0,3345,305,0,0,24,1,978.7710809707642
1,10,2308,63,10,RR,6958.0,2.7850456556796135,38,0,562,48,15252,446,744,64,10013,258,376.97927260398865
1,10,2308,53,10,RR,6977.0,2.7964623957207353,35,0,780,53,16394,443,1117,70,10626,252,374.613481760025
1,10,2308,73,10,RR,6933.0,2.7650003433733312,45,0,319,35,13966,408,462,59,9490,250,402.27159452438354
1,10,2308,83,10,RR,6927.0,2.742533923858392,38,0,501,40,13843,387,760,63,8595,238,385.78524923324585
1,10,2308,93,10,RR,6978.0,2.7880899155171712,38,0,697,32,13901,445,813,51,8805,261,373.35763478279114
1,10,2308,63,10,SD,6929.0,2.8504136083343403,111,0,9039,239,47825,545,9729,280,41219,451,183.3799889087677
1,10,2308,53,10,SD,6952.0,2.846785496808214,103,0,10329,222,49932,524,11471,262,42860,433,103.51418399810791
1,10,2308,73,10,SD,6870.0,2.81169532642144,105,0,7526,207,41243,512,7926,244,35437,424,102.54809737205505
1,10,2308,83,10,SD,6885.0,2.808114009805129,107,0,8050,217,42684,499,8649,253,36383,410,102.06309914588928
1,10,2308,93,10,SD,6869.0,2.809864294488154,107,0,11322,239,49459,549,11974,288,43093,461,101.6790132522583
1,10,2308,63,10,YS,7126.0,2.889658542832048,0,1,0,0,2860,394,0,0,19,5,1012.2096383571625
1,10,2308,53,10,YS,7139.000000000001,2.891279315426833,0,1,0,0,3244,330,0,0,6,4,1015.6158525943756
1,10,2308,73,10,YS,7155.0,2.8739352956469824,0,1,0,0,3497,390,1,1,62,8,995.408011674881
